N,lam,exec_time,succeed
20,128,1.1328,1
20,128,1.1743,1
20,128,1.1572,1
20,128,1.1316,1
20,128,1.1451,1
20,128,1.1568,1
20,128,1.1530,1
20,128,1.1495,1
20,128,1.1481,1
20,128,1.1696,1
20,128,1.1708,1
20,128,1.1448,1
20,128,1.1310,1
20,128,1.1295,1
20,128,1.1315,1
20,128,1.1354,1
20,128,1.1829,1
20,128,1.1506,1
20,128,1.1562,1
20,128,1.1426,1
20,128,1.1911,1
20,128,1.2003,1
20,128,1.1915,1
20,128,1.1798,1
20,128,1.1366,1
20,128,1.1385,1
20,128,1.1305,1
20,128,1.1349,1
20,128,1.1517,1
20,128,1.1901,1
20,128,1.1766,1
20,128,1.1659,1
20,128,1.1562,1
20,128,1.1526,1
20,128,1.1698,1
20,128,1.2015,1
20,128,1.1849,1
20,128,1.1986,1
20,128,1.1730,1
20,128,1.1932,1
20,128,1.1583,1
20,128,1.1315,1
20,128,1.1482,1
20,128,1.1505,1
20,128,1.1567,1
20,128,1.1464,1
20,128,1.1576,1
20,128,1.1617,1
50,128,11.586,1
50,128,11.480,1
50,128,11.449,1
50,128,11.427,1
50,128,11.352,1
50,128,11.618,1
50,128,11.663,1
50,128,11.410,1
50,128,11.418,1
50,128,11.268,1
50,128,11.497,1
50,128,11.277,1
50,128,11.223,1
50,128,11.330,1
50,128,11.328,1
50,128,11.232,1
50,128,11.646,1
50,128,11.519,1
50,128,11.672,1
50,128,11.448,1
50,128,11.317,1
50,128,11.224,1
50,128,11.359,1
50,128,11.560,1
50,128,11.334,1
50,128,11.300,1
50,128,11.469,1
50,128,11.533,1
50,128,11.661,1
50,128,11.561,1
50,128,11.601,1
50,128,11.476,1
50,128,11.526,1
50,128,11.702,1
50,128,11.565,1
50,128,11.604,1
50,128,11.681,1
50,128,11.423,1
50,128,11.501,1
50,128,11.565,1
50,128,11.569,1
50,128,11.849,1
50,128,11.688,1
50,128,11.535,1
50,128,11.682,1
50,128,11.745,1
50,128,11.580,1
50,128,11.569,1
50,128,11.580,1
50,128,11.565,1
